video_id,clase,split,path,origen
Robbery001_x264,Robbery,val,data\processed\val\Robbery__Robbery001_x264.npy,ucf_crime
Robbery002_x264,Robbery,val,data\processed\val\Robbery__Robbery002_x264.npy,ucf_crime
Robbery003_x264,Robbery,val,data\processed\val\Robbery__Robbery003_x264.npy,ucf_crime
Robbery004_x264,Robbery,val,data\processed\val\Robbery__Robbery004_x264.npy,ucf_crime
Robbery005_x264,Robbery,val,data\processed\val\Robbery__Robbery005_x264.npy,ucf_crime
Robbery006_x264,Robbery,val,data\processed\val\Robbery__Robbery006_x264.npy,ucf_crime
Robbery007_x264,Robbery,val,data\processed\val\Robbery__Robbery007_x264.npy,ucf_crime
Robbery008_x264,Robbery,val,data\processed\val\Robbery__Robbery008_x264.npy,ucf_crime
Robbery009_x264,Robbery,val,data\processed\val\Robbery__Robbery009_x264.npy,ucf_crime
Robbery010_x264,Robbery,val,data\processed\val\Robbery__Robbery010_x264.npy,ucf_crime
Robbery011_x264,Robbery,val,data\processed\val\Robbery__Robbery011_x264.npy,ucf_crime
Robbery012_x264,Robbery,val,data\processed\val\Robbery__Robbery012_x264.npy,ucf_crime
Robbery013_x264,Robbery,train,data\processed\train\Robbery__Robbery013_x264.npy,ucf_crime
Robbery014_x264,Robbery,train,data\processed\train\Robbery__Robbery014_x264.npy,ucf_crime
Robbery015_x264,Robbery,train,data\processed\train\Robbery__Robbery015_x264.npy,ucf_crime
Robbery016_x264,Robbery,train,data\processed\train\Robbery__Robbery016_x264.npy,ucf_crime
Robbery017_x264,Robbery,train,data\processed\train\Robbery__Robbery017_x264.npy,ucf_crime
Robbery018_x264,Robbery,train,data\processed\train\Robbery__Robbery018_x264.npy,ucf_crime
Robbery019_x264,Robbery,train,data\processed\train\Robbery__Robbery019_x264.npy,ucf_crime
Robbery020_x264,Robbery,train,data\processed\train\Robbery__Robbery020_x264.npy,ucf_crime
Robbery021_x264,Robbery,train,data\processed\train\Robbery__Robbery021_x264.npy,ucf_crime
Robbery022_x264,Robbery,train,data\processed\train\Robbery__Robbery022_x264.npy,ucf_crime
Robbery023_x264,Robbery,train,data\processed\train\Robbery__Robbery023_x264.npy,ucf_crime
Robbery024_x264,Robbery,train,data\processed\train\Robbery__Robbery024_x264.npy,ucf_crime
Robbery025_x264,Robbery,train,data\processed\train\Robbery__Robbery025_x264.npy,ucf_crime
Robbery026_x264,Robbery,train,data\processed\train\Robbery__Robbery026_x264.npy,ucf_crime
Robbery027_x264,Robbery,train,data\processed\train\Robbery__Robbery027_x264.npy,ucf_crime
Robbery028_x264,Robbery,train,data\processed\train\Robbery__Robbery028_x264.npy,ucf_crime
Robbery029_x264,Robbery,train,data\processed\train\Robbery__Robbery029_x264.npy,ucf_crime
Robbery030_x264,Robbery,train,data\processed\train\Robbery__Robbery030_x264.npy,ucf_crime
Robbery031_x264,Robbery,train,data\processed\train\Robbery__Robbery031_x264.npy,ucf_crime
Robbery032_x264,Robbery,train,data\processed\train\Robbery__Robbery032_x264.npy,ucf_crime
